Date,Time,Tank,Position,PAR,Instrument,Measure_Type,Notes
20180919,10:25,2,1,404,LICOR-193,Six-point,Sunny/Clouds
20180919,10:25,2,2,495,LICOR-193,Six-point,Sunny/Clouds
20180919,10:25,2,3,563,LICOR-193,Six-point,Sunny/Clouds
20180919,10:25,2,4,231,LICOR-193,Six-point,Sunny/Clouds
20180919,10:25,2,5,555,LICOR-193,Six-point,Sunny/Clouds
20180919,10:25,2,6,487,LICOR-193,Six-point,Sunny/Clouds
20180919,10:26,1,1,107,LICOR-193,Six-point,Sunny/Clouds
20180919,10:26,1,2,246,LICOR-193,Six-point,Sunny/Clouds
20180919,10:26,1,3,351,LICOR-193,Six-point,Sunny/Clouds
20180919,10:26,1,4,133,LICOR-193,Six-point,Sunny/Clouds
20180919,10:26,1,5,230,LICOR-193,Six-point,Sunny/Clouds
20180919,10:26,1,6,278,LICOR-193,Six-point,Sunny/Clouds
20180919,10:27,7,1,533,LICOR-193,Six-point,Sunny/Clouds
20180919,10:27,7,2,510,LICOR-193,Six-point,Sunny/Clouds
20180919,10:27,7,3,385,LICOR-193,Six-point,Sunny/Clouds
20180919,10:27,7,4,683,LICOR-193,Six-point,Sunny/Clouds
20180919,10:27,7,5,577,LICOR-193,Six-point,Sunny/Clouds
20180919,10:27,7,6,538,LICOR-193,Six-point,Sunny/Clouds
20180919,10:28,8,1,521,LICOR-193,Six-point,Sunny/Clouds
20180919,10:28,8,2,466,LICOR-193,Six-point,Sunny/Clouds
20180919,10:28,8,3,392,LICOR-193,Six-point,Sunny/Clouds
20180919,10:28,8,4,519,LICOR-193,Six-point,Sunny/Clouds
20180919,10:28,8,5,587,LICOR-193,Six-point,Sunny/Clouds
20180919,10:28,8,6,400,LICOR-193,Six-point,Sunny/Clouds
20180919,13:23,7,N/A,577,LICOR-193,One-point,
20180919,13:23,1,N/A,548,LICOR-193,One-point,
20180919,13:23,8,N/A,634,LICOR-193,One-point,
20180919,13:23,2,N/A,632,LICOR-193,One-point,
20180919,13:23,3,N/A,603,LICOR-193,One-point,
20180919,13:23,9,N/A,613,LICOR-193,One-point,
20180919,13:23,4,N/A,568,LICOR-193,One-point,
20180919,13:23,10,N/A,618,LICOR-193,One-point,
20180919,13:23,11,N/A,618,LICOR-193,One-point,
20180919,13:23,5,N/A,534,LICOR-193,One-point,
20180919,13:23,12,N/A,661,LICOR-193,One-point,
20180919,13:23,6,N/A,554,LICOR-193,One-point,
20180924,12:00,4,1,315,LICOR-193,Six-point,Overcast
20180924,12:00,4,2,310,LICOR-193,Six-point,Overcast
20180924,12:00,4,3,335,LICOR-193,Six-point,Overcast
20180924,12:00,4,4,396,LICOR-193,Six-point,Overcast
20180924,12:00,4,5,360,LICOR-193,Six-point,Overcast
20180924,12:00,4,6,447,LICOR-193,Six-point,Overcast
20180924,12:03,10,1,390,LICOR-193,Six-point,Overcast
20180924,12:03,10,2,500,LICOR-193,Six-point,Overcast
20180924,12:03,10,3,470,LICOR-193,Six-point,Overcast
20180924,12:03,10,4,479,LICOR-193,Six-point,Overcast
20180924,12:03,10,5,470,LICOR-193,Six-point,Overcast
20180924,12:03,10,6,480,LICOR-193,Six-point,Overcast
20180924,12:06,5,1,398,LICOR-193,Six-point,Overcast
20180924,12:06,5,2,376,LICOR-193,Six-point,Overcast
20180924,12:06,5,3,380,LICOR-193,Six-point,Overcast
20180924,12:06,5,4,420,LICOR-193,Six-point,Overcast
20180924,12:06,5,5,394,LICOR-193,Six-point,Overcast
20180924,12:06,5,6,313,LICOR-193,Six-point,Overcast
20180924,12:08,11,1,374,LICOR-193,Six-point,Overcast
20180924,12:08,11,2,406,LICOR-193,Six-point,Overcast
20180924,12:08,11,3,388,LICOR-193,Six-point,Overcast
20180924,12:08,11,4,270,LICOR-193,Six-point,Overcast
20180924,12:08,11,5,319,LICOR-193,Six-point,Overcast
20180924,12:08,11,6,250,LICOR-193,Six-point,Overcast
20180924,12:09,6,1,207,LICOR-193,Six-point,Overcast
20180924,12:09,6,2,204,LICOR-193,Six-point,Overcast
20180924,12:09,6,3,201,LICOR-193,Six-point,Overcast
20180924,12:09,6,4,238,LICOR-193,Six-point,Overcast
20180924,12:09,6,5,276,LICOR-193,Six-point,Overcast
20180924,12:09,6,6,260,LICOR-193,Six-point,Overcast
20180924,12:10,12,1,190,LICOR-193,Six-point,Overcast
20180924,12:10,12,2,181,LICOR-193,Six-point,Overcast
20180924,12:10,12,3,175,LICOR-193,Six-point,Overcast
20180924,12:10,12,4,225,LICOR-193,Six-point,Overcast
20180924,12:10,12,5,229,LICOR-193,Six-point,Overcast
20180924,12:10,12,6,223,LICOR-193,Six-point,Overcast
20180924,12:12,9,1,243,LICOR-193,Six-point,Overcast
20180924,12:12,9,2,284,LICOR-193,Six-point,Overcast
20180924,12:12,9,3,288,LICOR-193,Six-point,Overcast
20180924,12:12,9,4,292,LICOR-193,Six-point,Overcast
20180924,12:12,9,5,281,LICOR-193,Six-point,Overcast
20180924,12:12,9,6,302,LICOR-193,Six-point,Overcast
20180924,12:14,8,1,310,LICOR-193,Six-point,Overcast
20180924,12:14,8,2,361,LICOR-193,Six-point,Overcast
20180924,12:14,8,3,300,LICOR-193,Six-point,Overcast
20180924,12:14,8,4,359,LICOR-193,Six-point,Overcast
20180924,12:14,8,5,349,LICOR-193,Six-point,Overcast
20180924,12:14,8,6,379,LICOR-193,Six-point,Overcast
20180924,12:16,7,1,359,LICOR-193,Six-point,Overcast
20180924,12:16,7,2,349,LICOR-193,Six-point,Overcast
20180924,12:16,7,3,396,LICOR-193,Six-point,Overcast
20180924,12:16,7,4,425,LICOR-193,Six-point,Overcast
20180924,12:16,7,5,418,LICOR-193,Six-point,Overcast
20180924,12:16,7,6,413,LICOR-193,Six-point,Overcast
20180924,12:17,1,1,275,LICOR-193,Six-point,Overcast
20180924,12:17,1,2,265,LICOR-193,Six-point,Overcast
20180924,12:17,1,3,346,LICOR-193,Six-point,Overcast
20180924,12:17,1,4,336,LICOR-193,Six-point,Overcast
20180924,12:17,1,5,333,LICOR-193,Six-point,Overcast
20180924,12:17,1,6,343,LICOR-193,Six-point,Overcast
20180924,12:19,2,1,351,LICOR-193,Six-point,Overcast
20180924,12:19,2,2,368,LICOR-193,Six-point,Overcast
20180924,12:19,2,3,358,LICOR-193,Six-point,Overcast
20180924,12:19,2,4,372,LICOR-193,Six-point,Overcast
