file.ID,Date.Time,PAR
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:47:00Z,36
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:48:00Z,39
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:49:00Z,39
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:50:00Z,36
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:51:00Z,36
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:52:00Z,36
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:53:00Z,39
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:54:00Z,52
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:55:00Z,52
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:56:00Z,43
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:57:00Z,39
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:58:00Z,43
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T08:59:00Z,46
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:00:00Z,36
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:01:00Z,39
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:02:00Z,39
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:03:00Z,43
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:04:00Z,39
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:05:00Z,43
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:06:00Z,59
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:07:00Z,71
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:08:00Z,75
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:09:00Z,52
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:10:00Z,43
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:11:00Z,46
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:12:00Z,55
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:13:00Z,62
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:14:00Z,71
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:15:00Z,68
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:16:00Z,43
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:17:00Z,46
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:18:00Z,46
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:19:00Z,55
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:20:00Z,65
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:21:00Z,78
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:22:00Z,94
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:23:00Z,103
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:24:00Z,113
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:25:00Z,113
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:26:00Z,125
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:27:00Z,125
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:28:00Z,167
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:29:00Z,170
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:30:00Z,164
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:31:00Z,94
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:32:00Z,65
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:33:00Z,301
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:34:00Z,323
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:35:00Z,352
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:36:00Z,336
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:37:00Z,59
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:38:00Z,52
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:39:00Z,141
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:40:00Z,208
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:41:00Z,218
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:42:00Z,218
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:43:00Z,202
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:44:00Z,173
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:45:00Z,224
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:46:00Z,224
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:47:00Z,269
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:48:00Z,247
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:49:00Z,227
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:50:00Z,352
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:51:00Z,326
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:52:00Z,349
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:53:00Z,419
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:54:00Z,396
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:55:00Z,441
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:56:00Z,463
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:57:00Z,285
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:58:00Z,62
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T09:59:00Z,508
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:00:00Z,495
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:01:00Z,466
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:02:00Z,176
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:03:00Z,482
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:04:00Z,352
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:05:00Z,65
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:06:00Z,259
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:07:00Z,533
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:08:00Z,495
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:09:00Z,565
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:10:00Z,546
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:11:00Z,552
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:12:00Z,473
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:13:00Z,495
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:14:00Z,530
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:15:00Z,489
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:16:00Z,511
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:17:00Z,307
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:18:00Z,240
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:19:00Z,237
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:20:00Z,323
data/Environmental/Apex_continuous_data/Download1/Experimental_0922.csv,2018-09-22T10:21:00Z,422
