Type_Profile,Domain,Phylum,Class,Order,Family,Genus
X2136_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3844_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3857_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3824_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2145_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2095_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C15h,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3845_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3829_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3861_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1375_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
C21ad,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X1847_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3846_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2854_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2204_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3825_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2496_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3852_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3847_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2497_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2097_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3820_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3850_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X3836_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
X2349_C,Eukaryota,Dinoflagellata,Dinophyceae,Suessiales,Symbiodiniaceae,Cladocopium
