sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
309	HP185	HP185_S59_L001_R1_001.fastq.gz	38ab86fd4a66a704ccacab6bff6b2ec34c3fcd829b8e3c8f719e56c6bc236a44	HP185_S59_L001_R2_001.fastq.gz	cfb32826b9625612d3b520fd63dbc6b8d5497ce3e16b7746cbc1ac27e8d3d84f	61921	33593	531	33593	531	0	0	0	0	31892	8	0	0	219	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
243	HP119	HP119_S27_L001_R1_001.fastq.gz	014f42bde64b8d4bdac35b0ea87d0890663194fbc799793a02820b4df98f7661	HP119_S27_L001_R2_001.fastq.gz	98f7535ca77380641c54f7bbd01ffc42ab33496779e738100b117c85717c5c8f	54802	31298	511	31298	511	0	0	0	0	29709	7	0	0	365	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
422	HP298	HP298_S237_L001_R1_001.fastq.gz	5ff78e353fb8dfb0449005cc8fb31f858b6db456b04b08e3fa24fcc7cad6b7e5	HP298_S237_L001_R2_001.fastq.gz	e9ef21e79dabd3ee9889c62c8caf7d4a2b5d926e0e350fe21001470e55fde4b4	19441	8376	176	8376	176	0	0	0	0	8090	9	0	0	51	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180906.0	NoData
255	HP131	HP131_S76_L001_R1_001.fastq.gz	a6d33842585e7d685c648d38a6780f32d76640568b704eb5528291b42845c9fc	HP131_S76_L001_R2_001.fastq.gz	70f3dafafb3bced51c474f67e3300b14f07d657e3c1beb9c6a0acf4a957b316a	58640	29615	497	29575	496	0	0	40	1	28262	8	0	0	204	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
274	HP150	HP150_S19_L001_R1_001.fastq.gz	660f6513e3498dbf2edd3b2c0ef71764674fa77b54c7f1a0945d4f5463765298	HP150_S19_L001_R2_001.fastq.gz	c613800bb1c107e690f9b23cb79625f81520de0ac1f5ba721a26bdd143517dc9	53466	28917	470	28917	470	0	0	0	0	27653	9	0	0	172	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180908.0	NoData
271	HP147	HP147_S78_L001_R1_001.fastq.gz	ebb7faabc0058215fceffb7d8476201f70ffd6ddb23fb0fd58bb8b10a5045df8	HP147_S78_L001_R2_001.fastq.gz	ec7ec8bf48296b3297a5ec8bfa26ca2f548fea3cb8e93aac984bec94f8c0bdb8	71451	39472	625	39472	625	0	0	0	0	37287	8	0	0	226	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180906.0	NoData
314	HP190	HP190_S24_L001_R1_001.fastq.gz	724eff18d47cce30dfdd753d6693adccc57ec3878ef03adcd5f4ee577904be87	HP190_S24_L001_R2_001.fastq.gz	148bf7b95109cf4a303a20dffbe2a2c2602825b1403ba9590497bb801ba75391	73784	41972	623	40945	618	11	1	1016	4	38909	10	0	0	712	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180908.0	NoData
305	HP181	HP181_S11_L001_R1_001.fastq.gz	6049882ff83426eea522dd76c73a4ae10c41b439dce3f2590f7324d83fe4bf3b	HP181_S11_L001_R2_001.fastq.gz	536470f9d112f885e668424024fe61cfddfa1854f237163ace83cb52afbd8e7a	60851	35260	565	35187	563	70	1	3	1	33832	9	0	0	213	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180908.0	NoData
401	HP277	HP277_S107_L001_R1_001.fastq.gz	60e771d479e6528b79e5f1b76d6d3b8141f802ab4cd1374fe6196b9dfb0ef0ec	HP277_S107_L001_R2_001.fastq.gz	31cf6b5dc43c28d6a4144104308d3f55fc550337ab0cc9adc0ab85b70ef15518	29011	16046	279	15776	278	0	0	270	1	14934	8	0	0	250	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
248	HP124	HP124_S87_L001_R1_001.fastq.gz	856d4ce403a9fc06750b90ec723f3150c1077d8e36d7a86af1a39a267c8648ad	HP124_S87_L001_R2_001.fastq.gz	0ada01ae2c67f53642794819322969b5b6cf2bb8ea193dfb81188073b8a5e28d	51300	24665	435	24608	434	57	1	0	0	23451	9	0	0	120	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180910.0	NoData
237	HP113	HP113_S50_L001_R1_001.fastq.gz	5175a627db5f75f47d0a8b269e61bedd14aca761afb40df775e06ed62ea86307	HP113_S50_L001_R2_001.fastq.gz	208737e9ca2b30e4ed80890e779e3b6ba9f59f09e619282ab2f0773127a5ac31	53772	28485	485	28383	484	102	1	0	0	27133	11	0	0	205	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180905.0	NoData
322	HP198	HP198_S109_L001_R1_001.fastq.gz	5fbd34b5239feac864f7c74e25a57ec7722e4849d6a04848eabdec7885e86f03	HP198_S109_L001_R2_001.fastq.gz	3b673d30a05b974675bfd4798cba92c4c16965d7f1f62378f4bf031caaf32f79	50347	28539	464	28446	463	93	1	0	0	27312	9	0	0	198	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Pocilloporidae	Pocillopora	acuta	999.00000000	999.00000000	20180907.0	NoData
