,,,,host_info if applicable,,,,,,sampling info if applicable,,,,Please place any additional columns you wish to add to the right of 'collection_depth',,,,,,
HP218,HP218_S159_L001_R1_001.fastq.gz,HP218_S159_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1595,HTHC,5,6,20180929,,
HP219,HP219_S171_L001_R1_001.fastq.gz,HP219_S171_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1499,ATAC,8,7,20181006,,
HP220,HP220_S183_L001_R1_001.fastq.gz,HP220_S183_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,2068,ATHC,11,1,20180922,,
HP221,HP221_S100_L001_R1_001.fastq.gz,HP221_S100_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2413,ATAC,8,7,20181006,,
HP222,HP222_S112_L001_R1_001.fastq.gz,HP222_S112_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1138,HTHC,2,6,20180929,,
HP223,HP223_S124_L001_R1_001.fastq.gz,HP223_S124_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1250,HTHC,5,7,20181006,,
HP224,HP224_S136_L001_R1_001.fastq.gz,HP224_S136_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1278,HTAC,4,7,20181006,,
HP225,HP225_S148_L001_R1_001.fastq.gz,HP225_S148_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,1050,ATAC,1,6,20180929,,
HP226,HP226_S160_L001_R1_001.fastq.gz,HP226_S160_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2072,HTAC,9,7,20181006,,
HP227,HP227_S172_L001_R1_001.fastq.gz,HP227_S172_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1317,HTHC,5,6,20180929,,
HP228,HP228_S184_L001_R1_001.fastq.gz,HP228_S184_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1043,ATAC,1,1,20180922,,
HP229,HP229_S101_L001_R1_001.fastq.gz,HP229_S101_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1343,HTHC,5,4,20180922,,
HP230,HP230_S113_L001_R1_001.fastq.gz,HP230_S113_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1542,ATAC,8,6,20180929,,
HP231,HP231_S125_L001_R1_001.fastq.gz,HP231_S125_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,1820,HTHC,10,7,20181006,,
HP232,HP232_S137_L001_R1_001.fastq.gz,HP232_S137_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,2081,HTHC,10,1,20180922,,
HP233,HP233_S149_L001_R1_001.fastq.gz,HP233_S149_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,2977,ATHC,11,1,20180922,,
HP234,HP234_S161_L001_R1_001.fastq.gz,HP234_S161_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,1415,HTHC,5,5,20180923,,
HP235,HP235_S173_L001_R1_001.fastq.gz,HP235_S173_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,2734,ATHC,11,4,20180922,,
HP236,HP236_S185_L001_R1_001.fastq.gz,HP236_S185_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1101,ATAC,1,3,20180922,,
HP237,HP237_S102_L001_R1_001.fastq.gz,HP237_S102_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,1041,ATAC,1,3,20180922,,
HP238,HP238_S114_L001_R1_001.fastq.gz,HP238_S114_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180908,,1058,ATAC,1,7,20181006,,
HP239,HP239_S126_L001_R1_001.fastq.gz,HP239_S126_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1767,HTAC,7,4,20180922,,
HP240,HP240_S138_L001_R1_001.fastq.gz,HP240_S138_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,1445,ATAC,6,7,20181006,,
HP241,HP241_S150_L001_R1_001.fastq.gz,HP241_S150_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2419,HTHC,10,7,20181006,,
HP242,HP242_S162_L001_R1_001.fastq.gz,HP242_S162_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2402,ATAC,8,6,20180929,,
HP243,HP243_S174_L001_R1_001.fastq.gz,HP243_S174_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1653,HTAC,7,1,20180922,,
HP244,HP244_S186_L001_R1_001.fastq.gz,HP244_S186_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180908,,1579,HTAC,7,1,20180922,,
HP245,HP245_S103_L001_R1_001.fastq.gz,HP245_S103_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2002,ATAC,8,4,20180922,,
HP246,HP246_S115_L001_R1_001.fastq.gz,HP246_S115_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2210,HTHC,10,1,20180922,,
HP247,HP247_S127_L001_R1_001.fastq.gz,HP247_S127_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1145,HTHC,2,1,20180922,,
HP248,HP248_S139_L001_R1_001.fastq.gz,HP248_S139_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,1207,ATHC,3,1,20180922,,
HP249,HP249_S151_L001_R1_001.fastq.gz,HP249_S151_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1652,ATAC,8,1,20180922,,
HP250,HP250_S163_L001_R1_001.fastq.gz,HP250_S163_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1218,ATHC,3,1,20180922,,
HP251,HP251_S175_L001_R1_001.fastq.gz,HP251_S175_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1037,ATAC,1,1,20180922,,
HP252,HP252_S187_L001_R1_001.fastq.gz,HP252_S187_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,1701,HTAC,4,4,20180922,,
HP253,HP253_S104_L001_R1_001.fastq.gz,HP253_S104_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1581,HTAC,9,4,20180922,,
HP254,HP254_S116_L001_R1_001.fastq.gz,HP254_S116_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1328,HTHC,5,4,20180922,,
HP255,HP255_S128_L001_R1_001.fastq.gz,HP255_S128_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1706,ATHC,11,5,20180923,,
HP256,HP256_S140_L001_R1_001.fastq.gz,HP256_S140_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,1059,ATAC,1,5,20180923,,
HP257,HP257_S152_L001_R1_001.fastq.gz,HP257_S152_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2087,HTHC,10,5,20180923,,
HP258,HP258_S164_L001_R1_001.fastq.gz,HP258_S164_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1548,ATAC,8,3,20180922,,
HP259,HP259_S176_L001_R1_001.fastq.gz,HP259_S176_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180908,,1449,HTHC,5,5,20180923,,
HP260,HP260_S188_L001_R1_001.fastq.gz,HP260_S188_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1642,HTAC,7,3,20180922,,
HP261,HP261_S105_L001_R1_001.fastq.gz,HP261_S105_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,1707,HTAC,9,5,20180923,,
HP262,HP262_S117_L001_R1_001.fastq.gz,HP262_S117_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1563,ATAC,8,5,20180923,,
HP263,HP263_S129_L001_R1_001.fastq.gz,HP263_S129_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,2212,ATHC,11,5,20180923,,
HP264,HP264_S141_L001_R1_001.fastq.gz,HP264_S141_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1694,HTHC,10,5,20180923,,
HP265,HP265_S153_L001_R1_001.fastq.gz,HP265_S153_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1997,HTAC,9,5,20180923,,
HP266,HP266_S165_L001_R1_001.fastq.gz,HP266_S165_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2750,ATHC,12,3,20180922,,
HP267,HP267_S177_L001_R1_001.fastq.gz,HP267_S177_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1281,ATHC,3,7,20181006,,
HP268,HP268_S189_L001_R1_001.fastq.gz,HP268_S189_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1651,ATAC,8,4,20180922,,
HP269,HP269_S106_L001_R1_001.fastq.gz,HP269_S106_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180910,,2306,ATAC,6,11,20181215,,
HP270,HP270_S118_L001_R1_001.fastq.gz,HP270_S118_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1562,HTAC,9,11,20181215,,
HP271,HP271_S130_L001_R1_001.fastq.gz,HP271_S130_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1647,HTAC,7,11,20181215,,
HP272,HP272_S142_L001_R1_001.fastq.gz,HP272_S142_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1237,ATHC,3,11,20181215,,
HP273,HP273_S154_L001_R1_001.fastq.gz,HP273_S154_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1582,HTAC,9,11,20181215,,
HP274,HP274_S166_L001_R1_001.fastq.gz,HP274_S166_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180908,,1178,HTHC,2,11,20181215,,
HP275,HP275_S178_L001_R1_001.fastq.gz,HP275_S178_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1076,ATAC,1,11,20181215,,
HP276,HP276_S190_L001_R1_001.fastq.gz,HP276_S190_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1777,ATAC,8,11,20181215,,
HP277,HP277_S107_L001_R1_001.fastq.gz,HP277_S107_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2879,ATHC,12,11,20181215,,
HP278,HP278_S119_L001_R1_001.fastq.gz,HP278_S119_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,2188,ATHC,11,11,20181215,,
HP279,HP279_S131_L001_R1_001.fastq.gz,HP279_S131_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,2668,ATHC,11,11,20181215,,
HP280,HP280_S143_L001_R1_001.fastq.gz,HP280_S143_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2302,ATAC,6,11,20181215,,
HP281,HP281_S155_L001_R1_001.fastq.gz,HP281_S155_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1248,HTAC,4,11,20181215,,
HP282,HP282_S167_L001_R1_001.fastq.gz,HP282_S167_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,2756,ATHC,12,11,20181215,,
HP283,HP283_S179_L001_R1_001.fastq.gz,HP283_S179_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180907,,1416,HTHC,5,11,20181215,,
HP284,HP284_S191_L001_R1_001.fastq.gz,HP284_S191_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2185,HTHC,10,11,20181215,,
HP285,HP285_S108_L001_R1_001.fastq.gz,HP285_S108_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1270,HTHC,5,11,20181215,,
HP286,HP286_S120_L001_R1_001.fastq.gz,HP286_S120_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1596,HTAC,4,11,20181215,,
HP287,HP287_S132_L001_R1_001.fastq.gz,HP287_S132_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1452,ATAC,6,12,20190112,,
HP288,HP288_S144_L001_R1_001.fastq.gz,HP288_S144_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,2190,HTHC,10,12,20190112,,
HP289,HP289_S156_L001_R1_001.fastq.gz,HP289_S156_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1140,HTHC,2,12,20190112,,
HP290,HP290_S168_L001_R1_001.fastq.gz,HP290_S168_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1632,HTAC,7,12,20190112,,
HP291,HP291_S180_L001_R1_001.fastq.gz,HP291_S180_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1120,ATAC,1,12,20190112,,
HP292,HP292_S192_L001_R1_001.fastq.gz,HP292_S192_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,2731,ATHC,11,3,20180922,,
HP293,HP293_S193_L001_R1_001.fastq.gz,HP293_S193_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,2736,ATHC,11,12,20190112,,
HP294,HP294_S202_L001_R1_001.fastq.gz,HP294_S202_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,1729,HTAC,4,12,20190112,,
HP295,HP295_S211_L001_R1_001.fastq.gz,HP295_S211_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,2007,HTAC,9,12,20190112,,
HP296,HP296_S220_L001_R1_001.fastq.gz,HP296_S220_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1154,ATHC,3,12,20190112,,
HP297,HP297_S229_L001_R1_001.fastq.gz,HP297_S229_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1274,HTHC,5,12,20190112,,
HP298,HP298_S237_L001_R1_001.fastq.gz,HP298_S237_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1302,HTAC,4,9,20181103,,
HP299,HP299_S246_L001_R1_001.fastq.gz,HP299_S246_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2555,ATHC,12,6,20180929,,
HP300,HP300_S254_L001_R1_001.fastq.gz,HP300_S254_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,2735,ATHC,11,8,20181020,,
HP301,HP301_S194_L001_R1_001.fastq.gz,HP301_S194_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180908,,2009,HTHC,10,9,20181103,,
HP302,HP302_S203_L001_R1_001.fastq.gz,HP302_S203_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1628,ATAC,6,3,20180922,,
HP303,HP303_S212_L001_R1_001.fastq.gz,HP303_S212_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2733,ATHC,11,4,20180922,,
HP304,HP304_S221_L001_R1_001.fastq.gz,HP304_S221_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1169,HTHC,2,4,20180922,,
HP305,HP305_S230_L001_R1_001.fastq.gz,HP305_S230_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1289,HTAC,4,3,20180922,,
HP306,HP306_S238_L001_R1_001.fastq.gz,HP306_S238_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1124,HTHC,2,4,20180922,,
HP307,HP307_S247_L001_R1_001.fastq.gz,HP307_S247_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1221,ATHC,3,4,20180922,,
HP308,HP308_S255_L001_R1_001.fastq.gz,HP308_S255_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1108,ATAC,1,4,20180922,,
HP309,HP309_S195_L001_R1_001.fastq.gz,HP309_S195_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,2195,HTHC,10,4,20180922,,
HP310,HP310_S204_L001_R1_001.fastq.gz,HP310_S204_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1571,HTAC,7,5,20180923,,
HP311,HP311_S213_L001_R1_001.fastq.gz,HP311_S213_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1762,ATAC,6,4,20180922,,
HP312,HP312_S222_L001_R1_001.fastq.gz,HP312_S222_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180906,,1468,ATAC,6,6,20180929,,
HP313,HP313_S231_L001_R1_001.fastq.gz,HP313_S231_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1709,HTHC,10,8,20181020,,
HP314,HP314_S239_L001_R1_001.fastq.gz,HP314_S239_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180908,,1583,HTAC,7,5,20180923,,
HP315,HP315_S248_L001_R1_001.fastq.gz,HP315_S248_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,2737,ATHC,11,10,20181117,,
HP316,HP316_S256_L001_R1_001.fastq.gz,HP316_S256_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1078,HTHC,2,9,20181103,,
HP317,HP317_S196_L001_R1_001.fastq.gz,HP317_S196_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,1610,ATAC,6,5,20180923,,
HP318,HP318_S205_L001_R1_001.fastq.gz,HP318_S205_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,2016,ATHC,11,6,20180929,,
HP319,HP319_S214_L001_R1_001.fastq.gz,HP319_S214_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1269,HTAC,4,4,20180922,,
HP320,HP320_S223_L001_R1_001.fastq.gz,HP320_S223_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1722,HTAC,9,7,20181006,,
HP321,HP321_S245_L001_R1_001.fastq.gz,HP321_S245_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1455,ATAC,6,7,20181006,,
HP322,HP322_S240_L001_R1_001.fastq.gz,HP322_S240_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1277,HTHC,5,3,20180922,,
HP323,HP323_S249_L001_R1_001.fastq.gz,HP323_S249_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180908,,1315,HTAC,4,10,20181117,,
HP324,HP324_S257_L001_R1_001.fastq.gz,HP324_S257_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1083,ATAC,1,8,20181020,,
HP325,HP325_S197_L001_R1_001.fastq.gz,HP325_S197_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2380,HTAC,7,11,20181215,,
HP326,HP326_S206_L001_R1_001.fastq.gz,HP326_S206_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2410,HTAC,9,8,20181020,,
HP327,HP327_S215_L001_R1_001.fastq.gz,HP327_S215_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,2021,HTAC,9,3,20180922,,
HP328,HP328_S224_L001_R1_001.fastq.gz,HP328_S224_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180904,,1121,ATAC,1,9,20181103,,
HP329,HP329_S232_L001_R1_001.fastq.gz,HP329_S232_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180908,,1329,HTAC,4,8,20181020,,
HP330,HP330_S241_L001_R1_001.fastq.gz,HP330_S241_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1332,HTHC,5,10,20181117,,
HP331,HP331_S250_L001_R1_001.fastq.gz,HP331_S250_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180907,,1212,ATHC,3,6,20180929,,
HP332,HP332_S258_L001_R1_001.fastq.gz,HP332_S258_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180905,,2753,ATHC,12,8,20181020,,
HP333,HP333_S198_L001_R1_001.fastq.gz,HP333_S198_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180906,,1481,HTAC,7,4,20180922,,
HP334,HP334_S207_L001_R1_001.fastq.gz,HP334_S207_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,1588,HTAC,4,6,20180929,,
HP335,HP335_S216_L001_R1_001.fastq.gz,HP335_S216_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,capitata,,,20180910,,2511,HTHC,10,11,20181215,,
HP336,HP336_S225_L001_R1_001.fastq.gz,HP336_S225_L001_R2_001.fastq.gz,coral_field,Cnidaria,Anthozoa,Scleractinia,Pocilloporidae,Pocillopora,acuta,,,20180905,,1147,ATHC,3,11,20181215,,
