index,d__Eukaryota,d__Bacteria,Unassigned,d__Archaea,SampleName,PlotOrder,SiteName,SiteID,SitePoint,Species,TissueType,PlugID,Treatment,Temp,pH,Tank,Timepoint
HPW130,6.0,27548.0,178.0,0.0,2875,67.0,HIMB,M18,2,Mcapitata,Hard,2875,ATHC,AT,HC,12,7
HPW131,34.0,20526.0,1193.0,0.0,1610,68.0,Reef.42.43,M35,4,Mcapitata,Hard,1610,ATAC,AT,AC,6,5
HPW132,27605.0,1840.0,266.0,0.0,2304,69.0,Reef.18,P34,4,Pacuta,Hard,2304,HTHC,HT,HC,5,8
HPW133,9.0,17573.0,303.0,0.0,1229,70.0,Reef.42.43,M43,5,Mcapitata,Hard,1229,ATHC,AT,HC,3,5
HPW134,38638.0,1933.0,341.0,0.0,1445,71.0,Reef.11.13,P73,8,Pacuta,Hard,1445,ATAC,AT,AC,6,7
HPW135,34494.0,3129.0,522.0,0.0,1765,72.0,Reef.42.43,P6,1,Pacuta,Hard,1765,HTAC,HT,AC,7,8
HPW136,34.0,17256.0,346.0,0.0,1449,73.0,Lilipuna.Fringe,M17,2,Mcapitata,Hard,1449,HTHC,HT,HC,5,5
HPW137,26489.0,2359.0,242.0,0.0,1732,74.0,Lilipuna.Fringe,P53,6,Pacuta,Hard,1732,HTHC,HT,HC,10,10
HPW138,0.0,9609.0,257.0,7.0,1178,75.0,Lilipuna.Fringe,M39,4,Mcapitata,Hard,1178,HTHC,HT,HC,2,11
HPW139,28676.0,450.0,494.0,0.0,2878,76.0,HIMB,P1,1,Pacuta,Hard,2878,ATHC,AT,HC,12,7
HPW140,13.0,42715.0,529.0,0.0,1689,77.0,Reef.11.13,M2,1,Mcapitata,Hard,1689,HTHC,HT,HC,10,10
HPW141,28231.0,1935.0,188.0,0.0,2550,78.0,Reef.18,P69,7,Pacuta,Hard,2550,ATHC,AT,HC,12,10
HPW142,40503.0,1967.0,2596.0,0.0,2668,79.0,Lilipuna.Fringe,P55,6,Pacuta,Hard,2668,ATHC,AT,HC,11,11
HPW143,57.0,37285.0,280.0,0.0,1248,80.0,HIMB,M43,5,Mcapitata,Hard,1248,HTAC,HT,AC,4,11
HPW144,30.0,22923.0,426.0,0.0,2756,81.0,Reef.42.43,M74,8,Mcapitata,Hard,2756,ATHC,AT,HC,12,11
HPW145,23783.0,691.0,210.0,0.0,1047,82.0,Lilipuna.Fringe,P8,1,Pacuta,Hard,1047,ATAC,AT,AC,1,7
HPW146,7733.0,2553.0,635.0,0.0,2072,83.0,HIMB,P29,3,Pacuta,Hard,2072,HTAC,HT,AC,9,7
