NCBI_Sample_Name,NCBI_Sample_Title,host,Sample.Date,geo_loc_name,env_broad_scale,lat_lon,env_medium,env_local_scale,organism
1826_ATHC,1826_ATHC_HoloInt,Montipora capitata,2018-09-22,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1316_HTAC,1316_HTAC_HoloInt,Montipora capitata,2018-10-20,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1728_HTAC,1728_HTAC_HoloInt,Pocillopora acuta,2018-10-06,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1318_HTAC,1318_HTAC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1319_HTAC,1319_HTAC_HoloInt,Pocillopora acuta,2018-09-29,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1544_ATHC,1544_ATHC_HoloInt,Montipora capitata,2018-09-22,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1223_ATHC,1223_ATHC_HoloInt,Montipora capitata,2018-10-06,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1324_HTHC,1324_HTHC_HoloInt,Pocillopora acuta,2018-09-23,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1325_HTAC,1325_HTAC_HoloInt,Montipora capitata,2018-11-17,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1326_HTHC,1326_HTHC_HoloInt,Pocillopora acuta,2018-09-29,Hawaii: Reef.18,coral reef,"21.450806, -157.811139",sea water,fringing reef,metagenome
1327_HTAC,1327_HTAC_HoloInt,Pocillopora acuta,2018-11-17,Hawaii: Reef.11.13,coral reef,"21.450806, -157.794944",sea water,fringing reef,metagenome
1611_ATAC,1611_ATAC_HoloInt,Montipora capitata,2018-09-29,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1775_ATAC,1775_ATAC_HoloInt,Pocillopora acuta,2018-09-22,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
2875_ATHC,2875_ATHC_HoloInt,Montipora capitata,2018-10-06,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
2860_ATHC,2860_ATHC_HoloInt,Montipora capitata,2018-10-06,Hawaii: HIMB,coral reef,"21.436056, -157.786861",sea water,fringing reef,metagenome
1126_HTHC,1126_HTHC_HoloInt,Montipora capitata,2018-10-06,Hawaii: Reef.42.43,coral reef,"21.477194, -157.826889",sea water,fringing reef,metagenome
1333_HTAC,1333_HTAC_HoloInt,Montipora capitata,2018-09-29,Hawaii: Lilipuna.Fringe,coral reef,"21.429417, -157.791111",sea water,fringing reef,metagenome
1336_HTAC,1336_HTAC_HoloInt,Pocillopora acuta,2018-09-23,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
1337_HTHC,1337_HTHC_HoloInt,Montipora capitata,2018-12-15,Hawaii: Reef.35.36,coral reef,"21.473889, -157.833667",sea water,fringing reef,metagenome
