Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,8:17,483.3,2,8.88,393.6,2,8.94,1013.2,27.9,102.53,25.892,35.199,487.7,397.1,470.4,383,87.4,471.9,384.3,87.6
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,9:17,453.9,2,8.9,393.6,2,8.98,1013.1,27.8,101.81,26.095,35.234,458,397.2,441.5,382.9,58.6,442.9,384.1,58.8
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,10:17,442.2,2,8.93,393.7,2,9,1012.8,27.7,101.33,25.962,35.24,446.2,397.3,430.1,383,47.2,431.5,384.2,47.3
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,11:17,473.9,2,8.8,393.8,2,8.89,1012.2,27.6,100.42,25.604,35.192,478.1,397.4,461,383.1,77.8,462.4,384.3,78.1
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,12:17,524.7,2,8.87,393.8,2,8.96,1011.8,27.5,99.34,25.218,35.212,529.4,397.4,510.6,383.3,127.3,512.2,384.5,127.7
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,13:17,551.3,2,8.85,393.9,2,8.94,1011.6,27.5,98.54,25.24,35.217,556.2,397.5,536.3,383.3,153,538,384.5,153.5
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,14:17,573,2,8.83,394.1,2,8.89,1011.5,27.4,97.79,25.089,35.209,578.1,397.7,557.5,383.5,174,559.3,384.7,174.5
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,15:17,584.7,2,8.84,394,2,8.89,1011.8,27.3,97.13,25.003,35.202,590,397.5,569.2,383.5,185.7,571.1,384.8,186.3
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,16:17,599.6,2,8.86,394.2,2,8.91,1012.3,27.3,96.61,24.891,35.198,605,397.8,584.1,384.1,200.1,586,385.3,200.7
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,17:17,629,2,9.05,394.5,2,9.09,1012.5,27.2,96.08,24.799,35.197,634.7,398.1,613.1,384.5,228.5,615,385.8,229.3
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,18:17,614.6,2,9.22,394.4,2,9.22,1012.7,27.2,95.86,24.789,35.2,620.3,398,599.2,384.5,214.7,601.2,385.8,215.4
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,19:17,580.8,2,9.45,394.2,2,9.47,1012.8,27.3,96.09,24.87,35.202,586.4,398,566.5,384.5,182,568.3,385.7,182.6
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,20:17,527.9,2,9.33,394,2,9.34,1012.6,27.4,96.76,24.937,35.207,532.9,397.7,514.7,384.1,130.6,516.3,385.3,131
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,21:17,449.3,2,9.64,393.6,2,9.62,1012.4,27.4,98.1,25.327,35.218,453.7,397.5,437.8,383.5,54.3,439.2,384.7,54.4
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,22:17,400.1,2,9.54,393.7,2,9.53,1012.1,27.5,99.49,26.05,35.223,403.9,397.5,389.1,382.9,6.2,390.3,384.1,6.3
CRIMP2_158W_21N,21.458,-157.798,6/11/2013,23:17,335.7,2,9.81,393.3,2,9.81,1011.7,27.6,101.2,26.437,35.214,339,397.2,326.1,382.2,-56,327.1,383.4,-56.2
CRIMP2_158W_21N,21.458,-157.798,6/12/2013,0:17,323.8,2,9.9,393.2,2,9.89,1011.3,27.7,102.37,26.599,35.205,327,397.1,314.4,381.8,-67.4,315.4,383,-67.6
CRIMP2_158W_21N,21.458,-157.798,6/12/2013,1:17,333.5,2,9.79,393.5,2,9.71,1011.1,27.8,103.31,26.576,35.218,336.8,397.3,323.8,381.9,-58.1,324.8,383.1,-58.3
CRIMP2_158W_21N,21.458,-157.798,6/12/2013,2:17,334.4,2,9.45,393.4,2,9.34,1010.9,27.9,104.11,26.514,35.223,337.6,397.1,324.5,381.7,-57.2,325.5,382.9,-57.4
CRIMP2_158W_21N,21.458,-157.798,6/12/2013,3:17,342.5,2,9.54,393.6,2,9.46,1010.9,27.9,104.72,26.431,35.224,345.8,397.3,332.4,382,-49.6,333.4,383.2,-49.7
CRIMP2_158W_21N,21.458,-157.798,6/12/2013,4:17,350.3,2,9.16,393.6,2,9.1,1011.3,27.9,105.08,26.31,35.226,353.5,397.2,340.1,382.1,-42,341.1,383.3,-42.2
