Species,Plug_ID,Treatment,Sample_Date,Airbrush_Date,Airbrush_Tech,Homogenate_Vol_mL,Skeleton_mass,Wax_mass,Surface_area,Zoox_count,TP,TAC,CHL_A,CHL_C2,AFDW
Mcapitata,2023,ATHC,20181006,20200218,EC,40,3.3702,3.8163,20.1950474,,,,,,
Mcapitata,2044,ATHC,20181117,20200221,EC,25,2.5971,2.9317,15.2057298,,,,,,
Pacuta,2058,ATAC,20190112,20200210,AF,17,2.8833,3.208,14.7627321,,,,,,
Pacuta,2060,ATAC,20181103,20200124,AF,16,2.7866,3.2296,20.0563309,,,,,,
Pacuta,2062,HTAC,20181020,20200203,AF,13,3.0615,3.4188,16.2214922,,,,,,
Pacuta,2063,HTAC,20180929,20200127,AM,34.5,5.9339,6.6569,32.5855588,,,,,,
Mcapitata,2070,ATHC,20181020,20200224,AF,22.5,3.5772,4.0225,20.1592496,,,,,,
Pacuta,2074,HTHC,20181020,20200130,AF,25,6.2976,7.0986,36.0758437,,,,,,
Pacuta,2075,ATHC,20181117,20200130,DC,13,3.6237,3.9568,15.138609,,,,,,
Pacuta,2079,HTHC,20181117,20200130,DC,22.5,4.0469,4.6228,26.0032394,,,,,,
Mcapitata,2153,HTAC,20180922,20200214,ES,30,2.3322,2.6917,16.3199362,,,,,,
Pacuta,2156,HTAC,20181117,20200129,EC,5,1.9444,2.1929,11.3529923,,,,,,
Mcapitata,2164,HTAC,20181020,20200224,AM,48,3.3873,3.7577,16.8076811,,,,,,
Mcapitata,2165,HTHC,20180929,20200122,ES,29,2.9697,3.5296,25.2872836,,,,,,
Mcapitata,2168,HTHC,20180929,20200122,ES,55,2.3745,2.7579,17.3893953,,,,,,
Pacuta,2169,HTHC,20181103,20200204,SG,17,3.503,3.8797,17.0895887,,,,,,
Mcapitata,2172,HTHC,20181117,20200221,EC,50,9.1987,10.1864,44.4301539,,,,,,
Mcapitata,2184,HTAC,20181020,20200228,AM,37.5,2.1671,2.5053,15.3668199,,,,,,
Pacuta,2189,HTAC,20181020,20200203,AF,14.5,3.2301,3.5728,15.5681825,,,,,,
Pacuta,2192,HTAC,20181103,20200121,ES,20,4.8554,5.5436,31.0283548,,,,,,
Mcapitata,2193,ATHC,20181215,20191023,ES,20,3.2224,3.6288,18.4185818,,,,,,
Mcapitata,2198,HTHC,20181103,20200302,AM/AF,42.5,5.6798,6.4034,32.6124071,,,,,,
Mcapitata,2200,HTHC,20180929,,,,,,,,,,,,
Pacuta,2203,HTHC,20181006,20200130,AF,17,4.9994,5.6721,30.3347725,,,,,,
Pacuta,2208,ATHC,20181215,20200211,DC,21,8.708,9.2095,22.6740446,,,,,,
Mcapitata,2211,ATHC,20181117,20200220,AF,26,4.03,4.4917,20.8931043,,,,,,
Mcapitata,2279,HTHC,20181006,20200221,EC,47.5,6.0261,6.8226,35.8744811,,,,,,
Mcapitata,2297,HTHC,20180923,20200302,AM/AF,62.5,3.2688,3.8442,25.9808658,,,,,,
Mcapitata,2301,ATAC,20190112,20200214,ES,66,9.3954,10.4199,46.0768524,,,,,,
Mcapitata,2303,ATAC,20181020,20200302,AM/AF,54,4.6311,5.3417,32.030693,,,,,,
Mcapitata,2360,ATAC,20180923,20200226,AM,51,2.4001,2.7894,17.653404,,,,,,
Mcapitata,2372,HTAC,20181117,20200217,AF,39.5,8.79,9.8435,47.3745224,,,,,,
Mcapitata,2376,HTAC,20181020,20200225,EC/AM,32.5,3.5365,4.0571,23.5287169,,,,,,
Mcapitata,2378,HTAC,20180923,20200220,DC,28,4.1037,4.7247,28.0213401,,,,,,
Pacuta,2382,HTAC,20181117,20200205,AM,24.5,2.8396,3.2485,18.5304499,,,,,,
Pacuta,2384,HTAC,20180923,20200211,DC,30,3.8691,4.4173,24.7637408,,,,,,
Pacuta,2388,HTAC,20181020,20200203,AM,31,5.9857,6.5651,26.1598548,,,,,,
Mcapitata,2389,ATAC,20181006,20200225,DC,26,1.555,1.7701,9.85843436,,,,,,
Mcapitata,2391,ATAC,20181103,20200221,EC,65,3.2321,3.6926,20.8394077,,,,,,
Pacuta,2393,ATAC,20181117,20200129,AF,30,5.7289,6.6203,40.1209944,,,,,,
Mcapitata,2394,ATAC,20180929,20200219,AF,30,6.7822,7.6747,40.1702164,,,,,,
Pacuta,2396,ATAC,20181215,20200206,AF,15,4.7312,5.2793,24.7592661,,,,,,
Mcapitata,2397,ATHC,20181117,20200218,SG,24,4.4389,5.0062,25.6184131,,,,,,
Mcapitata,2398,ATAC,20181215,20200214,ES,45,3.8323,4.4524,27.9810676,,,,,,
Pacuta,2401,ATAC,20181103,20200127,AM,10,3.9074,4.4699,25.4036264,,,,,,
Mcapitata,2404,HTAC,20181006,20200219,AF,27.5,8.1916,9.0363,38.0312982,,,,,,
Mcapitata,2407,HTAC,20181020,20200226,AM,65,5.6515,6.1047,20.5127528,,,,,,
Pacuta,2416,HTAC,20181006,20200130,DC,12.5,2.7509,3.0077,11.7243944,,,,,,
Mcapitata,2512,HTHC,20180923,,,,,,,,,,,,
Pacuta,2515,HTAC,20181103,20200124,AF,15.5,4.0122,4.5529,24.4281365,,,,,,
Mcapitata,2517,HTHC,20181020,20200225,AM,39,2.4751,2.8744,18.1008764,,,,,,
Pacuta,2519,ATHC,20181117,20200130,DC,23,4.4299,5.1043,30.4108428,,,,,,
Pacuta,2521,ATHC,20181006,20200129,AF,18.5,2.428,2.7396,14.1765433,,,,,,
Pacuta,2522,HTHC,20180923,,,,,,,,,,,,
Pacuta,2523,HTHC,20180923,,,,,,,,,,,,
Mcapitata,2525,HTHC,20181020,20200226,AM,50,3.25,3.7608,23.090194,,,,,,
Mcapitata,2528,ATHC,20180929,,,,,,,,,,,,
Mcapitata,2529,ATHC,20180923,20200225,EC/AM,32.5,1.9623,2.3542,17.7697468,,,,,,
Pacuta,2530,ATHC,20181020,20200130,EC,14,3.4995,3.8964,17.993483,,,,,,
Pacuta,2531,ATHC,20180923,20200128,DC,20,6.6997,7.5149,36.7112546,,,,,,
Mcapitata,2532,ATHC,20181215,20200211,SG,80,4.7656,5.2947,23.9090685,,,,,,
Mcapitata,2535,ATHC,20180923,20200224,AM,31,2.1714,2.4767,13.8946356,,,,,,
Pacuta,2540,ATHC,20181215,20200210,AF,15,5.5852,6.1881,27.211415,,,,,,
Pacuta,2541,ATHC,20181103,20200204,DC,30,6.2823,7.0627,35.1540505,,,,,,
Mcapitata,2552,ATHC,20181103,20200302,AM/AF,40,2.7536,3.0844,15.0356903,,,,,,
Mcapitata,2565,ATHC,20181215,20200217,AF,32.5,9.0394,10.1395,49.4597439,,,,,,
Pacuta,2566,ATHC,20181215,20200206,AF,12,4.318,4.8875,25.7168571,,,,,,
Pacuta,2666,ATHC,20181006,20200129,AM,37,7.2115,8.2748,47.8130454,,,,,,
Pacuta,2669,ATHC,20190112,20200211,DC,12.5,3.6119,3.888,12.5880161,,,,,,
Pacuta,2728,ATHC,20181006,20200130,AF,8,2.4766,2.8015,14.7716816,,,,,,
Pacuta,2729,ATHC,20181103,20200204,SG,15.5,2.9088,3.3486,19.9131397,,,,,,
Mcapitata,2732,ATHC,20181103,20200225,EC/AM,35,3.6907,4.2921,27.1442941,,,,,,
Pacuta,2738,ATHC,20181215,20191023,ES,15,3.2397,3.6793,19.9041903,,,,,,
Mcapitata,2740,ATHC,20180929,,,,,,,,,,,,
Mcapitata,2741,ATHC,20181006,20200219,SG,32.5,3.7322,4.243,23.090194,,,,,,
Pacuta,2744,ATHC,20190112,20200206,EC,32.5,7.9957,9.0753,48.5424255,,,,,,
Mcapitata,2749,ATHC,20181020,20200225,EC/AM,49,6.2002,6.813,27.6544127,,,,,,
Pacuta,2751,ATHC,20190112,20200211,DC,12.5,2.2726,2.4304,7.29441736,,,,,,
Pacuta,2752,ATHC,20180923,,,,,,,,,,,,
Mcapitata,2755,ATHC,20190112,,,,,,,,,,,,
Mcapitata,2852,ATHC,20190112,20200220,DC,24,1.658,1.9014,11.1247813,,,,,,
Pacuta,2853,ATHC,20181103,20200204,DC,10,4.2044,4.7735,25.6989582,,,,,,
Mcapitata,2857,ATHC,20190112,20200214,ES,45,3.9304,4.4451,23.2647082,,,,,,
Pacuta,2858,ATHC,20181020,20200130,AF,7,3.5155,4.2723,34.0980156,,,,,,
Pacuta,2859,HTHC,20180929,,,,,,,,,,,,
Mcapitata,2863,ATHC,20181020,20200224,AM,42.5,2.1493,2.4514,13.7514445,,,,,,
Pacuta,2864,ATHC,20180929,20200122,ES,16,3.4558,3.9976,24.4773585,,,,,,
Mcapitata,2867,ATHC,20181103,20200228,AF,42,2.9017,3.4306,23.900119,,,,,,
Mcapitata,2869,ATHC,20181117,20200225,DC,32.5,2.4388,2.794,16.127523,,,,,,
Pacuta,2871,ATHC,20180929,20200122,ES,17,3.5797,4.1058,23.7748268,,,,,,
Mcapitata,2872,ATHC,20190112,20200213,AF,15.5,2.3956,2.6602,12.0734229,,,,,,
Pacuta,2874,ATHC,20181215,20200210,AM,51,9.7452,10.674,41.7945413,,,,,,
Mcapitata,2876,ATHC,20181215,20200211,EC,36.5,1.7124,2.0064,13.3889918,,,,,,
Pacuta,2880,ATHC,20180923,,,,,,,,,,,,
Pacuta,2882,ATHC,20181020,20200130,EC,17.5,6.3728,7.2549,39.7048451,,,,,,
Mcapitata,2976,ATHC,20180923,,,,,,,,,,,,
Mcapitata,2978,ATHC,20190112,20200214,ES,32.5,3.2008,3.5779,17.1074876,,,,,,
Pacuta,2981,ATHC,20180929,,,,,,,,,,,,
Pacuta,2982,ATHC,20190112,20200211,DC,18.5,4.1506,4.4154,12.0823723,,,,,,
Pacuta,2984,ATHC,20180929,,,,,,,,,,,,
Mcapitata,2989,ATHC,20181103,20200225,AM,73,6.5673,7.516,42.6850114,,,,,,
Pacuta,2992,ATHC,20181103,20200204,SG,18,2.5332,2.7499,9.93002994,,,,,,
Pacuta,2996,ATHC,20181006,20200130,AF,23,7.8,8.7023,40.6087394,,,,,,
Pacuta,2997,ATHC,20181117,20200130,DC,20,5.2159,5.9789,34.3754485,,,,,,
Pacuta,2998,ATHC,20181117,20200129,AM,9.5,2.5069,2.9251,18.9465993,,,,,,
Mcapitata,3000,ATHC,20181006,20200212,AM,53,3.7045,4.4049,31.5742711,,,,,,
Mcapitata,3002,ATHC,20190112,20200214,ES,26.5,2.515,2.869,16.0738263,,,,,,
Mcapitata,3003,ATHC,20180923,,,,,,,,,,,,
